,CC_1,ENGTYPE_1,GID_0,GID_1,HASC_1,NAME_0,NAME_1,NL_NAME_1,RINGNUM,SHAPENUM,TYPE_1,VARNAME_1
0,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,1,1,Shěng,Fukien
1,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,2,1,Shěng,Fukien
2,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,3,1,Shěng,Fukien
3,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,4,1,Shěng,Fukien
4,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,5,1,Shěng,Fukien
5,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,6,1,Shěng,Fukien
6,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,7,1,Shěng,Fukien
7,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,8,1,Shěng,Fukien
8,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,9,1,Shěng,Fukien
9,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,10,1,Shěng,Fukien
10,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,11,1,Shěng,Fukien
11,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,12,1,Shěng,Fukien
12,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,13,1,Shěng,Fukien
13,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,14,1,Shěng,Fukien
14,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,15,1,Shěng,Fukien
15,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,16,1,Shěng,Fukien
16,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,17,1,Shěng,Fukien
17,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,18,1,Shěng,Fukien
18,,Province,TWN,TWN.1_1,TW.FK,Taiwan,Fujian,福建,19,1,Shěng,Fukien
